article_no,date,verification_inv002,post_id,title,keywords,relevance,reuse_policy,claim_posture,traceability_links,word_count,external_links,actors,mechanisms,dimensions,central_claim_from_corpus,evidence_anchors_from_index,explicit_limits_refutations,gaps_reuse_warning,url
24,2026-05-30,NOT_REVERIFIED,199655040.leurope-piege-francais-12-contentieux,"🇪🇺 L’Europe, piège français : 12 contentieux, 10 Md€ nets, une dette sous tutelle : la souveraineté perdue par construction","[SÉRIE] démocratie, économie, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3733,23,ETAT_FR|UE|ENTREPRISES_FINANCE|LOBBIES_THINKTANKS|ALLEMAGNE,LOBBYING_RESEAUX|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|DEPENDANCE_ECONOMIQUE,TECHNIQUE|POLITIQUE|ECONOMIQUE|COMMUNICATION|MARKETING_PR,"Paradoxe : la France a construit l'UE pour étendre son influence, elle en est devenue prisonnière.","Dette sous tutelle : procédure déficit excessif ouverte juin 2024 (2e fois), déficit 5,5% (83% > Maastricht), dette 115,6% PIB (93% > plafond 60%, médiane zone euro 88%), PSMT sur 4-7 ans écrit à Bruxelles. 12 contentieux simultanés : qualité de l'air (condamnation CJUE 2019), hydroélectricité, taxation énergétique ; 20% du droit français d'origine européenne (50% dans agriculture, concurrence, énergie) — Sénat 2024-2025.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/leurope-piege-francais-12-contentieux
25,2026-05-30,NOT_REVERIFIED,199654938.medias-censure-et-desinformation,"📻 Médias, censure et désinformation : l’architecture du silence","[SÉRIE] système, médias, contrôle, économie",DIRECT,LEAD_REVERIFY,ASSERTIVE,MEDIUM,4175,6,ETAT_FR|UE|MEDIAS|ENTREPRISES_FINANCE|RUSSIE,FINANCEMENT_FLUX|LOBBYING_RESEAUX|CADRAGE_NARRATIF|MODERATION_CENSURE|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|INGERENCE_ETRANGERE|ELECTION_CONSENTEMENT|COERCITION_ADMIN|PSYCHO_COMPORTEMENT|GUERRE_SECURITE,JURIDIQUE|PSYCHOLOGIQUE|POLITIQUE|ECONOMIQUE,Oligopole : 9 milliardaires contrôlent >80% des médias (Oxfam).,"Oligopole : 9 milliardaires contrôlent >80% des médias (Oxfam). Bolloré (9,75 Md€) : CNews, Europe 1, JDD, Paris Match — machine à consentement conservateur (14 sanctions Arcom, 95% des journalistes quittent JDD après Lejeune), SLAPP.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/medias-censure-et-desinformation
26,2026-05-30,NOT_REVERIFIED,199654871.lagriculture-qui-meurt-100-000-fermes,"🌾 L’Agriculture qui meurt : 100 000 fermes disparues, 9 Md€ de PAC, 1 suicide tous les 2 jours : le modèle qui tue les paysans et liquide la souveraineté alimentaire","[SÉRIE] agriculture, démocratie, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,2914,15,UE|LOBBIES_THINKTANKS|ALLEMAGNE|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|LOBBYING_RESEAUX|SURVEILLANCE_DONNEES|CORRUPTION_TRAFFIC|ELECTION_CONSENTEMENT,TECHNIQUE|POLITIQUE|ECONOMIQUE|SOCIALE|SCIENTIFIQUE,"Paradoxe : 1re surface agricole UE (28M ha), 70 Md€ exportations, mais 100 000 fermes disparues en 10 ans (490 000→390 000, projection 350 000 en 2025 — Agreste), 1 suicide/2 jours (+20% moyenne, +40% −45 ans — SPF/MSA).","Paradoxe : 1re surface agricole UE (28M ha), 70 Md€ exportations, mais 100 000 fermes disparues en 10 ans (490 000→390 000, projection 350 000 en 2025 — Agreste), 1 suicide/2 jours (+20% moyenne, +40% −45 ans — SPF/MSA). Plan Mansholt 1968 : réduire de moitié les agriculteurs — exécuté : 1,5M→380 000 (−75% en 58 ans).",,"Paradoxe : 1re surface agricole UE (28M ha), 70 Md€ exportations, mais 100 000 fermes disparues en 10 ans (490 000→390 000, projection 350 000 en 2025 — Agreste), 1 suicide/2 jours (+20% moyenne, +40% −45 ans — SPF/MSA).",https://giak.substack.com/p/lagriculture-qui-meurt-100-000-fermes
27,2026-05-30,NOT_REVERIFIED,199654799.lenergie-sacrifiee-923-twh-exportes,"⚡ L’Énergie sacrifiée : 92,3 TWh exportés, 65 Md€ de dette EDF, 12 millions de précaires","[SÉRIE] économie, énergie",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,4618,17,UE|ENTREPRISES_FINANCE|CHINE,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|DEPENDANCE_ECONOMIQUE,JURIDIQUE|ECONOMIQUE|SCIENTIFIQUE,"Paradoxe : 1er exportateur net d'électricité UE (92,3 TWh, RTE 2024), mix bas carbone, mais 12 millions en précarité énergétique (ONPE 2025), 30% des ménages ont eu froid en 2024.","Paradoxe : 1er exportateur net d'électricité UE (92,3 TWh, RTE 2024), mix bas carbone, mais 12 millions en précarité énergétique (ONPE 2025), 30% des ménages ont eu froid en 2024. Nucléaire : part 74% (2010)→56% (2024).",,,https://giak.substack.com/p/lenergie-sacrifiee-923-twh-exportes
28,2026-05-30,NOT_REVERIFIED,199654706.le-logement-la-machine-a-creer-de,"🏠 Le Logement, la Machine à créer de la Rareté : 37 millions de toits, 4,2 millions de mal-logés, 30 500 expulsions","[SÉRIE] système, logement, géopolitique",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,3321,17,,DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT,JURIDIQUE|POLITIQUE|SOCIALE,"Paradoxe : 37 M logements pour 68 M habitants, mais 4,2 M mal-logés, 2,7 M en attente HLM (SDES), 30 500 expulsions 2025 (record, +60% en 2 ans).","Paradoxe : 37 M logements pour 68 M habitants, mais 4,2 M mal-logés, 2,7 M en attente HLM (SDES), 30 500 expulsions 2025 (record, +60% en 2 ans). Construction en chute : 435 000 mises en chantier (2017)→259 000 (2024, −40%).",,"Vienne 60% HLM, Singapour 80% propriétaires — solution politique.",https://giak.substack.com/p/le-logement-la-machine-a-creer-de
29,2026-05-30,NOT_REVERIFIED,199654638.limmigration-sans-cap-340-000-titres,"🧭 L’Immigration sans Cap : 340 000 titres, 71 % rejetés, 15 lois pour rien","[SÉRIE] Europe, immigration, géopolitique",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,2508,12,UE|ALLEMAGNE,FINANCEMENT_FLUX|DROIT_REGULATION|COERCITION_ADMIN,JURIDIQUE|POLITIQUE|ECONOMIQUE|SOCIALE,"Kayfabe migratoire : 340 000 titres/an, 71% demandes asile rejetées (OFPRA), 15 lois en 40 ans, flux triplé — aucune politique cohérente.","Kayfabe migratoire : 340 000 titres/an, 71% demandes asile rejetées (OFPRA), 15 lois en 40 ans, flux triplé — aucune politique cohérente. 11,3% immigrés (INSEE) = comparable Allemagne.",,,https://giak.substack.com/p/limmigration-sans-cap-340-000-titres
30,2026-05-30,NOT_REVERIFIED,199654539.lecole-sans-transmission-43-points,"📚 L’École sans transmission : 43 points PISA, 51 % sans repères, 4M d’illettrés","[SÉRIE] économie, éducation",CONTEXT,CONTEXT_ONLY,MIXED,RICH,3191,25,ETAT_FR,FINANCEMENT_FLUX,ECONOMIQUE|SOCIALE,"Paradoxe : 86 Md€/an, 1er budget de l'État (5,1% PIB), mais −43 pts PISA maths (plus forte baisse OCDE), France 23e maths/22e lecture/81 pays, 25% des élèves sous niveau attendu en lecture en 6e, 4 M illettrés (ANLCI).","Paradoxe : 86 Md€/an, 1er budget de l'État (5,1% PIB), mais −43 pts PISA maths (plus forte baisse OCDE), France 23e maths/22e lecture/81 pays, 25% des élèves sous niveau attendu en lecture en 6e, 4 M illettrés (ANLCI). Dictée CM2 : 10,7 erreurs (1987)→19,4 (2021, +81%).",,,https://giak.substack.com/p/lecole-sans-transmission-43-points
31,2026-05-30,NOT_REVERIFIED,199654478.la-france-desindustrialisee-81-milliards,"🏭 La France désindustrialisée : 81 milliards de déficit, 9,7 % du PIB, zéro souveraineté","[SÉRIE] démocratie, économie, travail, industrie",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,2496,12,ETAT_FR|UE|ENTREPRISES_FINANCE|ALLEMAGNE|CHINE,ELECTION_CONSENTEMENT,POLITIQUE|ECONOMIQUE,"Paradoxe : 5e exportateur mondial (2000), industrie à 9,7% du PIB (moitié Allemagne 20% — Eurostat), 2 M emplois détruits en 20 ans.","Paradoxe : 5e exportateur mondial (2000), industrie à 9,7% du PIB (moitié Allemagne 20% — Eurostat), 2 M emplois détruits en 20 ans. Déficit commercial 81 Md€ (record 164 Md€ en 2022), déficit Chine 46 Md€, balance agroalimentaire +10→+3 Md€, déficit manufacturier >70 Md€.",,,https://giak.substack.com/p/la-france-desindustrialisee-81-milliards
32,2026-05-30,NOT_REVERIFIED,199654310.les-visages-de-la-pauvrete-98-millions,"📦 Les Visages de la Pauvreté : 9,8 millions de Français sous le seuil","[SÉRIE] économie, travail",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,2966,19,UE,DROIT_REGULATION,JURIDIQUE|ECONOMIQUE|SOCIALE,"Paradoxe : 31% PIB protection sociale (taux le plus élevé d'Europe — OCDE), mais efficacité redistributive 15% seulement pour actifs (vs 27% OCDE).","Paradoxe : 31% PIB protection sociale (taux le plus élevé d'Europe — OCDE), mais efficacité redistributive 15% seulement pour actifs (vs 27% OCDE). 9,8 M pauvres (1 216€/mois), +600 000 depuis 2017, 21,3% enfants.",,,https://giak.substack.com/p/les-visages-de-la-pauvrete-98-millions
33,2026-05-30,NOT_REVERIFIED,199654188.le-systeme-de-sante-demantele-8-millions,🏥 Le Système de santé démantelé : 8 millions de Français sans médecin traitant,"[SÉRIE] agriculture, système, Europe, santé",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,3650,24,ETAT_FR|UE,FINANCEMENT_FLUX|DROIT_REGULATION|DEPENDANCE_ECONOMIQUE,JURIDIQUE|ECONOMIQUE|SOCIALE|ETHIQUE|SCIENTIFIQUE,"Paradoxe : 12,3% PIB santé (plus haut OCDE — DREES), mais 8 M sans médecin traitant, 100 000 lits supprimés (28 000 depuis 2017 — FHF), 120 urgences ferment chaque nuit.","Paradoxe : 12,3% PIB santé (plus haut OCDE — DREES), mais 8 M sans médecin traitant, 100 000 lits supprimés (28 000 depuis 2017 — FHF), 120 urgences ferment chaque nuit. T2A (2008) : finance au nombre d'actes → supprime lits, 25 rapports sans suite.",,,https://giak.substack.com/p/le-systeme-de-sante-demantele-8-millions
34,2026-05-30,NOT_REVERIFIED,199653976.la-dette-instrumentalisee-3-200-milliards,📉 La Dette instrumentalisée : 3 200 milliards qui ne disent pas leur nom,"[SÉRIE] économie, Europe",SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,3617,19,UE,DROIT_REGULATION|ELECTION_CONSENTEMENT|DEPENDANCE_ECONOMIQUE,ECONOMIQUE,"Dette 3 200 Md€ (115.6% PIB), déficit 5.5%, 55 Md€ intérêts/an → 100+ Md€ en 2029 (AFT).","Dette 3 200 Md€ (115.6% PIB), déficit 5.5%, 55 Md€ intérêts/an → 100+ Md€ en 2029 (AFT). 50% dette détenue par non-résidents, durée moyenne 8.2 ans, taux moyen 1.8% mais nouvelles émissions à 3-3.3%.",,,https://giak.substack.com/p/la-dette-instrumentalisee-3-200-milliards
35,2026-05-30,NOT_REVERIFIED,199655748.largent-qui-disparait-80-a-100-milliards,💰 L’Argent qui disparaît : 80 à 100 milliards d’évasion fiscale par an,"[SÉRIE] démocratie, économie, Europe, corruption",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3623,19,ETAT_FR|UE|ENTREPRISES_FINANCE,FINANCEMENT_FLUX|CORRUPTION_TRAFFIC|ELECTION_CONSENTEMENT|COERCITION_ADMIN,POLITIQUE|ECONOMIQUE,"L'évasion fiscale (80-100 Md€/an) n'est pas un trou noir mais un système documenté par CumEx (140 Md€ Europe), Panama/Pandora/OpenLux (10 000 entités offshore France, 80 000 sociétés écrans Luxembourg).","L'évasion fiscale (80-100 Md€/an) n'est pas un trou noir mais un système documenté par CumEx (140 Md€ Europe), Panama/Pandora/OpenLux (10 000 entités offshore France, 80 000 sociétés écrans Luxembourg). Cinq canaux : prix de transfert (60% commerce mondial, CAC40 paie 14,8% effectif vs 25% facial), CumEx (BNP Paribas, Société Générale), paradis Suisse (150-200 Md€ actifs non déclarés), niches fiscales (470 mesures, 90-100 Md€/an), fraude sociale (13-14 Md€/an).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/largent-qui-disparait-80-a-100-milliards
36,2026-05-30,NOT_REVERIFIED,199422722.la-caste-parasite-qui-gouverne-la,👑 La caste parasite : qui gouverne la France et pour qui ?,"[SÉRIE] système, médias, contrôle, économie",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4356,44,ETAT_FR|PLATEFORMES_BIGTECH|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|CADRAGE_NARRATIF|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|CORRUPTION_TRAFFIC|COERCITION_ADMIN,JURIDIQUE|ANTHROPOLOGIQUE|ECONOMIQUE|ETHIQUE|COMMUNICATION|MARKETING_PR,"Caste : 20 familles (704 Md€, top 500 = 1 128 Md€, 42 ex-ministres dans leurs CA).","Caste : 20 familles (704 Md€, top 500 = 1 128 Md€, 42 ex-ministres dans leurs CA). Taux effectif d'imposition 15-25% vs officiel 45,7% (European Tax Observatory 2024).",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/la-caste-parasite-qui-gouverne-la
37,2026-05-30,NOT_REVERIFIED,199049245.le-changement-de-regime-pourquoi,🔄 Le changement de régime : pourquoi ce système ne peut pas se réformer,"[SÉRIE] système, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3580,28,ETAT_FR|UE,DROIT_REGULATION|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT,JURIDIQUE|TECHNIQUE|POLITIQUE|SOCIALE|SCIENTIFIQUE,HUB central : synthèse de la série en 5 tensions en cascade.,HUB central : synthèse de la série en 5 tensions en cascade. T1 Extraction : ~200 Md€/an non perçus (évasion 80-100 + niches 90-100 + baisses impôts 40-50 + gaspillage 24-48).,,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-changement-de-regime-pourquoi
38,2026-05-29,NOT_REVERIFIED,199724760.le-peuple-est-le-seul-souverain-le,🗡️ Le peuple est le seul souverain : le système de désorganisation,"système, démocratie",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,2794,19,ETAT_FR|UE|CITOYENS_MOUVEMENTS,ELECTION_CONSENTEMENT|PSYCHO_COMPORTEMENT|DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE,PSYCHOLOGIQUE|ANTHROPOLOGIQUE|POLITIQUE|ECONOMIQUE,Manifeste sur la souveraineté.,"Légal ≠ légitime : Conseil constitutionnel non élu, traités UE non ratifiés depuis Maastricht, 65 M fiches TAJ, dette 55 Md€/an. Droit de résistance (DDHC 1789 art.2) enterré.",,,https://giak.substack.com/p/le-peuple-est-le-seul-souverain-le
39,2026-05-21,NOT_REVERIFIED,198659211.opposition-controlee-anatomie-dun,🧪 Opposition contrôlée – anatomie d’un système auto-stabilisateur,"système, résistance",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,5774,44,ETAT_FR|UE|PLATEFORMES_BIGTECH|PARTIS_ELUS|ENTREPRISES_FINANCE|ONG_FONDATIONS|LOBBIES_THINKTANKS|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|LOBBYING_RESEAUX|SURVEILLANCE_DONNEES|CAPTURE_INSTITUTIONNELLE|DEPENDANCE_ECONOMIQUE,TECHNIQUE|ECONOMIQUE,Le système n'écrase plus la dissidence : il la sélectionne.,"88% de la dissidence apparente absorbée par l'infrastructure qu'elle combat. Cinq types : spectaculaire (Raptor, Brut/CMA CGM) → catharsis ; rentable (Blast 803 000€ aides publiques, 26,8% budget) → dépendance ; tolérée → pluralisme façade sans masse critique ; systémique → invisibilisée (×10 mainstream algorithme, asphyxie financière) ; matérielle (Gilets Jaunes, ZAD) → seule réprimée.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/opposition-controlee-anatomie-dun
40,2026-05-19,NOT_REVERIFIED,198384632.le-ciel-nest-pas-gratuit,✈️ Le ciel n’est pas gratuit,environnement,SUPPORTING,SUPPORT_RECHECK,MIXED,MEDIUM,3130,13,UE|CHINE,DROIT_REGULATION,JURIDIQUE,"Aviation : externalités gratuites, émissions non régulées.","Traînées = 57% du forçage radiatif (Lee 2021), CO₂ 32% seulement. Expérience 9/11 : +1,1°C amplitude thermique (Travis, Nature 2002).","Thèse chemtrail réfutée : baryum/Al/strontium = abondants croûte (8%), logistique inviable (1 145 t/jour), témoins inexacts.",,https://giak.substack.com/p/le-ciel-nest-pas-gratuit
41,2026-05-18,NOT_REVERIFIED,198170736.le-paradoxe-francais-66-de-colere,"🔬 Le paradoxe français : 66 % de colère, zéro résultat","système, Europe",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,10669,238,ETAT_FR|UE|PARTIS_ELUS,CADRAGE_NARRATIF|CAPTURE_INSTITUTIONNELLE|PSYCHO_COMPORTEMENT|GUERRE_SECURITE,PSYCHOLOGIQUE|POLITIQUE|SOCIALE|NARRATIVE,"La France bat les records européens de grèves ET d'inefficacité : corrélation causale, pas contradiction.","Huit verrous : fichage masse (TAJ, 1 F/2) + état urgence permanent (719j cumul depuis 2015) + lois sécuritaires cumul (6 en 9 ans, aucune retirée) + dissolution administrative (14 décrets en 3 ans vs 130 en 80 ans) → infra peur. Épuisement salarié (62%) + pauvreté (+154% depuis 2000) + logement préengagement (30,4% revenu) + alimentation addiction (70% ultratransformés) → atomisation.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-paradoxe-francais-66-de-colere
42,2026-05-16,NOT_REVERIFIED,197963983.climat-les-deux-escroqueries,🔥 Climat : les deux escroqueries,"système, géopolitique, industrie, environnement",CONTEXT,CONTEXT_ONLY,ASSERTIVE,RICH,2909,53,ENTREPRISES_FINANCE,FINANCEMENT_FLUX,ECONOMIQUE|SCIENTIFIQUE,Deux machines parallèles produisent l'inaction climatique.,"Machine 1 — Le déni financé : Exxon prédit le réchauffement dès 1977 (Harvard 2023) puis finance le doute (Koch → AEI 40 M$/an → GWPF → Clintel → Climato-Réalistes, zéro climatologue). Machine 2 — L'écologie-spectacle : Verra 90% crédits forêt sans valeur (Guardian 2023), COP29 Bakou (65 jets privés, 1 700 lobbyistes fossiles), BlackRock (20 000 Md$) capte des commissions des deux côtés, Gates (Breakthrough Energy, 839 M$) détient des patents sur les technologies climat qu'il finance, assurances ROE 15,9% (record), géoingénierie (Stardust 75 M$, Climeworks 162 M$, marché 1 000 Md$), data centers GAFAM émissions sous-rapportées 662%.",,"Thèse : les deux escroqueries ne s'annulent pas, elles se renforcent — mais +1,43°C, 430 ppm, l'acidification, la signature isotopique du carbone fossile restent des faits physiques indiscutables.",https://giak.substack.com/p/climat-les-deux-escroqueries
43,2026-04-21,NOT_REVERIFIED,194966421.la-constellation-davril,🌌 La constellation d’avril,système,DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,4959,44,ETAT_FR|UE|ENTREPRISES_FINANCE,FINANCEMENT_FLUX|CADRAGE_NARRATIF|MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|INGERENCE_ETRANGERE|ELECTION_CONSENTEMENT|DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE,JURIDIQUE|TECHNIQUE|ECONOMIQUE|NARRATIVE|SCIENTIFIQUE,"15 tweets, 8 rouages, un seul système.","15 tweets, 8 rouages, un seul système. R1 Extraction : dette +500 Md€ depuis 2017, intérêts 55-65 Md€/an dont 30-36 Md€ sortent vers non-résidents, Atos 90,8% aux fonds anglo-saxons (Melqart, D.E.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/la-constellation-davril
44,2026-04-20,NOT_REVERIFIED,194695720.larchitecture-a-luvre,🏗️ L'architecture à l'œuvre,"système, Europe",CONTEXT,CONTEXT_ONLY,ASSERTIVE,RICH,6518,30,ETAT_FR|UE|ISRAEL,,POLITIQUE|ECONOMIQUE,"Vérification en temps réel des 3 mécanismes (asymétrie, inversion, domestication) via 9 événements des 17-18 avril 2026.","Vérification en temps réel des 3 mécanismes (asymétrie, inversion, domestication) via 9 événements des 17-18 avril 2026. Ariège : Christelle Record = troupeau vacciné de force sous 50 gendarmes/sous-préfète, amende 22 500€, fin élevage ; Kyria Marietti = comptes pro bloqués, cagnotte gelée — même jour, convergence pas accidentelle.",,,https://giak.substack.com/p/larchitecture-a-luvre
45,2026-04-19,NOT_REVERIFIED,194518266.lingenierie-de-lenclos,🐕L’ingénierie de l’enclos,justice,SUPPORTING,SUPPORT_RECHECK,MIXED,RICH,5657,17,ETAT_FR,DROIT_REGULATION|CORRUPTION_TRAFFIC,JURIDIQUE|POLITIQUE|ETHIQUE,"15 bornes = domestication systémique : population traitée comme ressource à parquer, traire et réduire au silence.","15 bornes = domestication systémique : population traitée comme ressource à parquer, traire et réduire au silence. Pâturage : radars 1 Md€/an, TICPE 0,608€/l, 29,2M contrôles Cnaf pour 508,8M€ (0,14% Sécu) brandis vs fraude fiscale 80-100 Md€ — rapport 1:157.",,,https://giak.substack.com/p/lingenierie-de-lenclos
46,2026-04-16,NOT_REVERIFIED,194422681.le-leviathan-de-verre,🕸️ Le Léviathan de verre,"système, économie",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,3432,16,ETAT_FR|UE|PLATEFORMES_BIGTECH|LOBBIES_THINKTANKS|ISRAEL|CHINE,MODERATION_CENSURE|DROIT_REGULATION|SURVEILLANCE_DONNEES|CORRUPTION_TRAFFIC|INGERENCE_ETRANGERE,JURIDIQUE|TECHNIQUE|ECONOMIQUE,"15 événements, principe unificateur = inversion d'extraction (mots de la protection servent la dépossession).","15 événements, principe unificateur = inversion d'extraction (mots de la protection servent la dépossession). Bergé ment en séance (loi Yadan : « Israël » 15 fois, elle dit « jamais »), immunité ; 700 000 signatures classées sans suite.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-leviathan-de-verre
47,2026-04-13,NOT_REVERIFIED,194130616.le-protocole-du-re-enracinement,🌳 Le protocole du ré-enracinement,"système, résistance, géopolitique",DIRECT,LEAD_REVERIFY,ASSERTIVE,MEDIUM,1099,0,,LOBBYING_RESEAUX|CAPTURE_INSTITUTIONNELLE|PSYCHO_COMPORTEMENT|DEPENDANCE_ECONOMIQUE,PSYCHOLOGIQUE|SOCIALE,"6 étapes pour sortir de la machine. (1) Cesser de nourrir la machine — arrêter de dénoncer dans le vide. (2) Couper un fil par mois (supprimer réseau social, acheter au producteur, potager). (3) Déplacer son centre de conscience (psilocybine 2-5g cadre sacré, jeûne 48-72h, Vipassanā 10 jours, forêt 3-7 jours) — Imperial College (2018) et Johns Hopkins (2011, 2025) : seule modification durable d'un trait de personnalité adulte documentée. (4) Créer une dépendance réelle (apprendre une chose qu'on ne peut plus acheter). (5) Transmettre à une seule personne. (6) Répéter.","6 étapes pour sortir de la machine. (1) Cesser de nourrir la machine — arrêter de dénoncer dans le vide. (2) Couper un fil par mois (supprimer réseau social, acheter au producteur, potager). (3) Déplacer son centre de conscience (psilocybine 2-5g cadre sacré, jeûne 48-72h, Vipassanā 10 jours, forêt 3-7 jours) — Imperial College (2018) et Johns Hopkins (2011, 2025) : seule modification durable d'un trait de personnalité adulte documentée. (4) Créer une dépendance réelle (apprendre une chose qu'on ne peut plus acheter). (5) Transmettre à une seule personne. (6) Répéter. Il a peur de celui qui cesse de dépendre. » Pointe d'un iceberg de 72 enquêtes.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/le-protocole-du-re-enracinement
48,2026-04-13,NOT_REVERIFIED,194040178.lingenierie-de-la-possession,⚙️ L’INGÉNIERIE DE LA POSSESSION,"système, résistance, géopolitique",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,2621,22,,ELECTION_CONSENTEMENT|PSYCHO_COMPORTEMENT,TECHNIQUE,"Personne ne dirige le système — acéphale, construit strate par strate en 350 ans sans architecte, aucune strate supprimée.","Personne ne dirige le système — acéphale, construit strate par strate en 350 ans sans architecte, aucune strate supprimée. Paulson (Goldman→Trésor→TARP 700 Md$) : pas corrompu, possédé.",,,https://giak.substack.com/p/lingenierie-de-la-possession
49,2026-04-10,NOT_REVERIFIED,193809543.audiovisuel-public-anatomie-dune,⚖️ AUDIOVISUEL PUBLIC : ANATOMIE D’UNE CAPTURE D’ÉTAT,"médias, contrôle, Europe, justice",DIRECT,LEAD_REVERIFY,ASSERTIVE,RICH,1098,10,ETAT_FR|UE|MEDIAS|PARTIS_ELUS|CITOYENS_MOUVEMENTS,FINANCEMENT_FLUX|MEDIAS_AGENDA|DROIT_REGULATION|CAPTURE_INSTITUTIONNELLE|ELECTION_CONSENTEMENT|COERCITION_ADMIN|DEPENDANCE_ECONOMIQUE|GUERRE_SECURITE,JURIDIQUE|POLITIQUE|ECONOMIQUE|ETHIQUE,"Vote 27 avril 2026 : si rapport Alloncle rejeté, 26 000 documents classifiés 25 ans (ordonnance 58-1100 art.6 IV).","Vote 27 avril 2026 : si rapport Alloncle rejeté, 26 000 documents classifiés 25 ans (ordonnance 58-1100 art.6 IV). FranceTV : 4 Md€/an TVA, dette 81 M€, déficit 41 M€.",,"Formulation causale/systémique forte : isoler les maillons et retester intention, coordination et effet avant réemploi.",https://giak.substack.com/p/audiovisuel-public-anatomie-dune
50,2026-04-09,NOT_REVERIFIED,193730222.la-commission-qui-devait-eclairer,🗳️ La commission qui devait éclairer la France va peut-être être enterrée pour 25 ans,"système, médias, géopolitique",SUPPORTING,SUPPORT_RECHECK,ASSERTIVE,RICH,3808,30,ETAT_FR|MEDIAS,FINANCEMENT_FLUX|MEDIAS_AGENDA|ELECTION_CONSENTEMENT,POLITIQUE|ECONOMIQUE,"Commission Alloncle (UDR/Ciotti) : 67 auditions, 26 000 documents, vote 27 avril.","Commission Alloncle (UDR/Ciotti) : 67 auditions, 26 000 documents, vote 27 avril. Ordonnance 58-1100 art.6 IV : si rejet, secret 25 ans (précédent rapport Perruchot 2011).",,,https://giak.substack.com/p/la-commission-qui-devait-eclairer
51,2026-04-06,NOT_REVERIFIED,193327603.ce-que-le-corps-sait-et-que-la-machine,🧊 Ce que le corps sait et que la machine ne saura jamais,"système, Europe, géopolitique, philosophie",CONTEXT,CONTEXT_ONLY,ASSERTIVE,RICH,2263,12,UE,SCIENCE_EXPERTISE,TECHNIQUE|ANTHROPOLOGIQUE,Paradoxe de Polanyi (1966) : « nous savons plus que nous ne pouvons le dire » — l'IA le rend visible à l'échelle civilisationnelle.,Paradoxe de Polanyi (1966) : « nous savons plus que nous ne pouvons le dire » — l'IA le rend visible à l'échelle civilisationnelle. Collins : 3e catégorie.,,,https://giak.substack.com/p/ce-que-le-corps-sait-et-que-la-machine
