source_no,category,source_entry,urls,citation_calls
89,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","Haute Autorité de santé, « Covid-19 : la HAS favorable à l’ouverture de la vaccination, sans obligation, aux enfants de 5 à 11 ans », 20 décembre 2021 : https://www.has-sante.fr/jcms/p_3306399/fr/covid-19-la-has-favorable-a-l-ouverture-de-la-vaccination-sans-obligation-aux-enfants-de-5-a-11-ans",https://www.has-sante.fr/jcms/p_3306399/fr/covid-19-la-has-favorable-a-l-ouverture-de-la-vaccination-sans-obligation-aux-enfants-de-5-a-11-ans,1
90,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*La Tronche en Biais / La Menace Théoriste*, « Masterclass en imposture : Idriss Aberkane », 4 février 2022, avec retour explicite sur une affirmation antérieure concernant vaccination et contagion : https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/",https://menace-theoriste.fr/masterclass-en-imposture-idriss-aberkane/,4
91,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","Meta, *July 2021 Coordinated Inauthentic Behavior Report*, incluant l’enquête sur la campagne *Fazze* et l’attribution de certains éléments à *Fact & Furious* : https://about.fb.com/wp-content/uploads/2021/08/July-2021-CIB-Report.pdf",https://about.fb.com/wp-content/uploads/2021/08/July-2021-CIB-Report.pdf,1
92,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","TF1 Info, vérification des vidéos prétendant montrer un magnétisme après vaccination, avec reprise de l’expérience de *Fact & Furious* et contrôles complémentaires : https://www.tf1info.fr/sante/une-reaction-magnetique-post-vaccination-ces-videos-ne-prouvent-rien-2186097.html",https://www.tf1info.fr/sante/une-reaction-magnetique-post-vaccination-ces-videos-ne-prouvent-rien-2186097.html,2
93,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","TF1 Info, vérification d’une vidéo d’un pompier de Lyon affirmant une hausse des AVC chez les vaccinés, avec mention des démarches de *Fact & Furious* puis vérification auprès des autorités : https://www.tf1info.fr/sante/vaccination-covid-19-pandemie-y-a-t-il-une-hausse-des-avc-chez-des-patients-vaccines-comme-l-assure-un-pompier-de-lyon-sur-reseaux-sociaux-2187084.html",https://www.tf1info.fr/sante/vaccination-covid-19-pandemie-y-a-t-il-une-hausse-des-avc-chez-des-patients-vaccines-comme-l-assure-un-pompier-de-lyon-sur-reseaux-sociaux-2187084.html,2
94,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*EUvsDisinfo*, fiche « Coronavirus: a leak from a lab 300m away from markets », 30 mars 2020 : https://euvsdisinfo.eu/report/coronavirus-a-leak-from-a-lab-300m-away-from-markets/",https://euvsdisinfo.eu/report/coronavirus-a-leak-from-a-lab-300m-away-from-markets/,2
95,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*EUvsDisinfo*, fiche « COVID-19 originates from Chinese laboratory in Wuhan », 31 mars 2020 : https://euvsdisinfo.eu/report/covid-19-originates-from-chinese-laboratory-in-wuhan/",https://euvsdisinfo.eu/report/covid-19-originates-from-chinese-laboratory-in-wuhan/,2
96,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","Service européen pour l’action extérieure, rapport spécial Covid sur la désinformation, 19 mai 2021, décrivant notamment le partage d’informations avec les institutions et États membres via le *Rapid Alert System* : https://www.eeas.europa.eu/delegations/georgia/read-eeas-special-report-update-short-assessment-narratives-and-disinformation-around-covid_en",https://www.eeas.europa.eu/delegations/georgia/read-eeas-special-report-update-short-assessment-narratives-and-disinformation-around-covid_en,1
97,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*EU DisinfoLab*, étude sur l’hydroxychloroquine et la modération Facebook, 27 octobre 2020 : https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims",https://www.disinfo.eu/publications/hydroxychloroquine-and-facebook%3A-the-challenge-of-moderating-scientifically-debatable-claims,1
98,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*EU DisinfoLab*, étude sur la désinformation vaccinale Covid et Facebook, 2021 : https://www.disinfo.eu/publications/covid-19-vaccine-misinformation-and-facebook%3A-the-challenge-of-moderating-anti-vaxx-and-vaccine-hesitant-stances/",https://www.disinfo.eu/publications/covid-19-vaccine-misinformation-and-facebook%3A-the-challenge-of-moderating-anti-vaxx-and-vaccine-hesitant-stances/,1
99,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","[*Fresque longitudinale Covid des fact-checkers et acteurs adjacents*](data/XQ200_COVID_ECOSYSTEM_FRESQUE.csv), 24 août 2026, enrichie le 25 août : 45 événements structurés, avec dates, classes d’acteurs, qualification d’audit, réparations ou mises à jour et traces de circulation lorsqu’elles sont documentées.",,1
100,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","Uppsala Monitoring Centre, guide *VigiAccess*: les rapports de VigiBase sont des signalements de suspicions de relations causales, ne prouvent pas à eux seuls une causalité et ne doivent pas servir seuls à comparer des profils de sécurité : https://who-umc.org/media/1147/umc-vigiaccess.pdf",https://who-umc.org/media/1147/umc-vigiaccess.pdf,1
101,"Fresque longitudinale Covid : acteurs, origine, temporalité et circulation","*CheckFirst*, « Journalistes Solidaires » : description de l’initiative collaborative de fact-checking, de son processus éditorial et de son activité de mars 2020 à janvier 2022 : https://checkfirst.network/project/journalistes-solidaires/",https://checkfirst.network/project/journalistes-solidaires/,1
102,Textes juridiques complémentaires,"Légifrance, décret n° 2020-1310 du 29 octobre 2020, version en vigueur au 3 mai 2021, article 4 : restrictions de déplacement et document justificatif pour les exceptions : https://www.legifrance.gouv.fr/loda/id/JORFTEXT000042475143/2021-05-03/",https://www.legifrance.gouv.fr/loda/id/JORFTEXT000042475143/2021-05-03/,2
103,Textes juridiques complémentaires,"Légifrance, loi n° 2021-1040 du 5 août 2021 relative à la gestion de la crise sanitaire, article 1er : extension du passe sanitaire à certains lieux, services et événements : https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043909676",https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043909676,2
104,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","*AFP Fact Check*, version anglaise de la vérification Ryan Cole, publiée le 18 août 2021 et mise à jour le 19 août : https://factcheck.afp.com/us-doctor-spreads-false-information-about-covid-19-mrna-vaccines",https://factcheck.afp.com/us-doctor-spreads-false-information-about-covid-19-mrna-vaccines,2
105,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Moderna, dossier du promoteur présenté au comité consultatif de la FDA, 17 décembre 2020, mécanisme d’action et persistance de la protéine exprimée : https://www.fda.gov/media/144452/download",https://www.fda.gov/media/144452/download,1
106,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Agence européenne des médicaments, rapport public d’évaluation de mRNA-1273, étude de biodistribution chez le rat avec l’ARNm de plateforme mRNA-1647 : https://www.ema.europa.eu/en/documents/assessment-report/spikevax-previously-covid-19-vaccine-moderna-epar-public-assessment-report_en.pdf",https://www.ema.europa.eu/en/documents/assessment-report/spikevax-previously-covid-19-vaccine-moderna-epar-public-assessment-report_en.pdf,1
107,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Lei Y. et al., « SARS-CoV-2 Spike Protein Impairs Endothelial Function via Downregulation of ACE2 », *Circulation Research*, 2021 : https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.121.318902",https://www.ahajournals.org/doi/10.1161/CIRCRESAHA.121.318902,1
108,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Yonker L. M. et al., « Circulating Spike Protein Detected in Post-COVID-19 mRNA Vaccine Myocarditis », *Circulation*, 2023 : https://pubmed.ncbi.nlm.nih.gov/36597886/",https://pubmed.ncbi.nlm.nih.gov/36597886/,1
109,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Faculté de médecine de l’Université de Belgrade, enseignement de médecine légale, liste du corps enseignant incluant Oliver Stojković : https://studiesinenglish.med.bg.ac.rs/courses/sixth-year/forensic-medicine/",https://studiesinenglish.med.bg.ac.rs/courses/sixth-year/forensic-medicine/,1
110,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Oliver Stojković, profil de recherche et liste publique de publications, Université de Belgrade / Institute of Forensic Medicine, consulté le 24 août 2026 : https://www.researchgate.net/profile/Oliver-Stojkovic",https://www.researchgate.net/profile/Oliver-Stojkovic,2
111,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Bogdanović M. et al., « Post-mortem Histopathological and Molecular Analyses of the Very First Documented COVID-19-Related Death in Europe », *Frontiers in Medicine*, 2021 : https://pubmed.ncbi.nlm.nih.gov/33681247/",https://pubmed.ncbi.nlm.nih.gov/33681247/,1
112,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","Wyss Institute at Harvard University, profil de David R. Walt, travaux sur la détection de molécules uniques et les technologies diagnostiques : https://wyss.harvard.edu/team/core-faculty/david-walt/",https://wyss.harvard.edu/team/core-faculty/david-walt/,1
113,"Compléments forensiques : Spike, circulation, expertise et protocole expérimental","*Conspiracy Watch*, « Pourquoi le coronavirus n’est probablement pas une “arme biologique” », publié le 16 mars 2020, mise à jour du 16 avril 2020 distinguant l’hypothèse d’une fuite accidentelle depuis un laboratoire de la thèse d’un virus fabriqué ou d’une arme biologique : https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html",https://www.conspiracywatch.info/pourquoi-le-coronavirus-nest-probablement-pas-une-arme-biologique.html,3
