clean_id,blind_id,original_claim_id,actor,speech_date,constraint_context,claim_text,original_code,second_code,third_code,third_confidence,three_way_unanimous,majority_code,all_non_C0,any_C2,c2_votes
G144,B014,GC130,Olivier Véran,2021-01-20,état urgence sanitaire,Le niveau quotidien de cas reste autour de 19 000-20 000 et la pression hospitalière ne diminue pas nettement.,C0,C0,C0,90,True,C0,False,False,0
G145,B078,GC153,Olivier Véran,2022-01-11,passe vaccinal,Une étude française montre une charge virale expirée plus faible chez les personnes complètement vaccinées.,C1,C1,C0,80,False,C1,False,False,0
G146,B087,GC074,Jean Castex,2020-10-22,extension couvre-feu,"Le nombre de reproduction est autour de 1,35, correspondant à un doublement environ toutes les deux semaines à dynamique constante.",C0,C0,C0,90,True,C0,False,False,0
G147,B006,GC133,Olivier Véran,2021-01-20,état urgence sanitaire,"La campagne vaccinale doit permettre de maîtriser l’épidémie à moyen terme, mais pas de retirer immédiatement les outils exceptionnels.",C1,C0,C0,80,False,C0,False,False,0
G148,B093,GC127,Olivier Véran,2021-01-20,état urgence sanitaire,La situation sanitaire et les prévisions du premier semestre rendent indispensable la prorogation de l’état d’urgence jusqu’au 1er juin.,C1,C0,C0,80,False,C0,False,False,0
G149,B064,GC027,Emmanuel Macron,2021-03-31,restrictions / écoles,44 % des patients en réanimation ont moins de 65 ans.,U,C0,C0,90,False,C0,False,False,0
G150,B045,GC148,Olivier Véran,2022-01-11,passe vaccinal,Le pays fait face à un variant Omicron extrêmement virulent.,C1,C1,C2,85,False,C1,True,True,1
G151,B137,GC103,Jean Castex,2021-03-18,confinements territorialisés,Le confinement du week-end a eu un effet réel mais insuffisant pour casser fortement la dynamique.,C1,C0,C0,80,False,C0,False,False,0
G152,B118,GC004,Emmanuel Macron,2020-03-16,confinement,Limiter le nombre de contacts quotidiens est la priorité absolue pour ralentir la propagation.,C1,C0,C0,90,False,C0,False,False,0
G153,B110,GC048,Emmanuel Macron,2021-07-12,pass / vaccination / tests payants,La vaccination de tous est le seul chemin vers le retour à la vie normale.,C2,C0,C2,80,False,C2,False,True,2
G154,B073,GC032,Emmanuel Macron,2021-03-31,restrictions / écoles,Le télétravail est sans doute la mesure la plus efficace contre la circulation dans ce contexte.,C1,C0,C1,75,False,C1,False,False,0
